dbh,species,x_pos,y_pos
0.394,maple tree,30.657386,-9.170499
0.289,ash tree,32.873083,-1.585234
0.431,pine tree,39.673072,-7.299116
0.262,maple tree,34.42339,-3.450089
0.38,maple tree,31.229852,-9.2885
0.234,oak tree,39.834758,-9.100498
0.339,ash tree,33.791961,-8.713433
0.361,oak tree,38.680177,-2.25841
0.454,oak tree,39.240156,-6.375682
0.304,ash tree,30.122624,-5.852418
0.488,maple tree,38.87248,-6.789882
0.286,ash tree,38.681287,-0.55931
0.344,oak tree,37.434453,-9.528456
0.343,oak tree,33.404966,-6.894766
0.458,oak tree,37.304471,-3.483069
0.488,ash tree,34.264043,-3.296856
0.413,pine tree,39.658235,-1.914167
0.357,ash tree,31.061706,-5.251228
0.276,pine tree,36.632723,-1.262555
0.334,pine tree,31.999356,-2.079381
0.314,pine tree,34.788833,-8.24496
0.306,ash tree,32.315691,-8.964676
0.212,oak tree,37.40687,-6.661256
0.407,maple tree,30.69358,-6.889829
0.468,maple tree,32.737154,-9.849504
0.389,maple tree,34.628271,-2.200143
0.388,ash tree,36.844073,-5.03194
0.45,maple tree,33.587969,-9.359166
0.34,pine tree,35.019609,-9.359735
0.284,oak tree,35.348466,-2.728128
0.207,oak tree,38.823828,-9.266833
0.343,maple tree,33.328629,-6.292607
0.335,ash tree,39.582484,-8.818291
0.267,ash tree,31.398696,-1.922308
0.397,maple tree,35.943308,-7.447447
0.258,maple tree,38.464509,-9.151039
0.298,ash tree,38.586181,-0.119318
0.409,pine tree,34.155412,-7.474014
0.385,ash tree,37.446724,-0.925662
0.315,ash tree,30.515969,-2.791829
0.422,ash tree,31.443294,-2.133839
0.344,maple tree,39.561522,-8.341591
0.235,ash tree,36.901802,-7.869918
0.393,ash tree,36.652897,-4.588506
0.47,ash tree,34.99315,-5.072725
0.345,maple tree,31.427046,-5.279495
0.458,maple tree,34.989012,-0.466258
0.246,ash tree,30.638903,-2.759462
0.255,maple tree,34.353215,-6.732072
0.243,ash tree,33.817372,-4.604019
0.251,ash tree,36.092667,-1.182005
0.292,pine tree,32.283973,-7.059267
0.44,oak tree,38.181005,-2.000729
0.467,ash tree,30.425424,-5.442711
0.415,ash tree,34.466174,-4.890517
0.208,maple tree,33.792198,-5.559449
0.467,pine tree,30.735055,-7.232874
0.289,pine tree,34.456428,-1.247256
0.493,maple tree,33.865395,-4.177177
0.229,oak tree,35.806675,-6.87453
0.293,pine tree,36.324352,-9.242469
0.452,pine tree,34.879729,-3.411186
0.306,maple tree,36.350028,-1.289988
0.298,pine tree,31.488777,-1.539946
0.449,pine tree,34.174111,-1.78305
0.391,oak tree,32.208074,-7.50754
0.274,oak tree,37.71387,-4.064771
0.308,maple tree,32.30884,-1.92957
0.486,oak tree,33.444686,-0.56078
0.43,oak tree,35.889331,-5.95101
0.313,pine tree,31.724429,-8.017054
0.36,oak tree,35.301181,-6.689445
0.249,ash tree,39.624378,-0.674465
0.487,oak tree,34.630711,-8.080665
0.419,pine tree,36.148707,-4.739588
0.276,pine tree,39.507106,-0.051281
0.357,ash tree,36.952082,-4.55805
0.26,pine tree,34.893713,-3.117189
0.259,oak tree,32.470014,-7.830243
0.345,pine tree,30.001605,-3.081434
0.267,maple tree,36.364299,-1.42212
0.26,pine tree,39.799508,-0.444626
0.289,ash tree,39.086453,-4.474982
0.281,maple tree,37.235292,-1.281086
0.282,pine tree,36.185683,-5.173626
0.34,pine tree,31.786408,-4.501569
0.277,maple tree,35.406914,-5.747117
0.24,ash tree,30.215159,-2.887912
0.375,ash tree,32.235304,-5.300857
0.369,maple tree,38.746218,-4.222557
0.431,pine tree,36.25827,-8.573091
0.437,oak tree,36.452167,-7.108419
0.49,ash tree,39.869315,-5.415563
0.231,maple tree,33.030475,-6.333763
0.241,ash tree,37.450712,-7.717913
0.38,maple tree,33.976385,-8.422451
0.338,ash tree,36.710223,-1.958558
0.36,maple tree,38.916522,-8.030565
0.457,oak tree,31.492433,-0.898137
0.391,oak tree,31.155316,-2.776612
