Taxa,Genus and species,Common name,FIA species code,Wood specific gravity,Group
"Abies , 0.35 spg*",Abies balsamea,"Fir, balsam",12,0.33,Conifer
"Abies , 0.35 spg*",A. fraseri,"Fir, Fraser",16,0.33,Conifer
"Abies , 0.35 spg*",A. lasiocarpa,"Fir, subalpine",19,0.31,Conifer
Abies ≥ 0.35 spg,A. amabilis,"Fir, Pacific silver",11,0.4,Conifer
Abies ≥ 0.35 spg,A. concolor,"Fir, white",15,0.37,Conifer
Abies ≥ 0.35 spg,A. grandis,"Fir, grand",17,0.35,Conifer
Abies ≥ 0.35 spg,A. magnifica,"Fir, California red",20,0.36,Conifer
Abies ≥ 0.35 spg,A. procera,"Fir, noble",22,0.37,Conifer
Abies ≥ 0.35 spg,Abies spp.,"Fir, Pacific silver-noble-other",10,0.39,Conifer
"Cupressaceae , 0.30 spg",Thuja occidentalis,"Cedar, northern white",241,0.29,Conifer
Cupressaceae 0.30–0.39 spg,Calocedrus decurrens,incense-cedar,81,0.35,Conifer
Cupressaceae 0.30–0.39 spg,Sequoiadendron giganteum,"Sequoia, giant",212,0.34,Conifer
Cupressaceae 0.30–0.39 spg,T. plicata,"Cedar, western red",242,0.31,Conifer
Cupressaceae ≥ 0.40 spg,Chamaecyparis nootkatensis,"Cedar, Alaska",42,0.42,Conifer
Cupressaceae ≥ 0.40 spg,Juniperus virginiana,"Juniper, eastern redcedar",68,0.44,Conifer
Larix,Larix laricina,Tamarack,71,0.49,Conifer
Larix,L. occidentalis,"Tamarack, western larch",73,0.48,Conifer
Larix,L. spp.,"Tamarack, larch (introduced)",70,0.49,Conifer
"Picea , 0.35 spg",Picea engelmannii,"Spruce, Engelmann",93,0.33,Conifer
"Picea , 0.35 spg",P. sitchensis,"Spruce, Sitka",98,0.33,Conifer
Picea ≥ 0.35 spg,P. abies,"Spruce, Norway",91,0.36,Conifer
Picea ≥ 0.35 spg,P. glauca,"Spruce, white",94,0.37,Conifer
Picea ≥ 0.35 spg,P. mariana,"Spruce, black",95,0.38,Conifer
Picea ≥ 0.35 spg,P. rubens,"Spruce, red",97,0.37,Conifer
"Pinus , 0.45 spg",Pinus albicaulis,"Pine, whitebark",101,0.43,Conifer
"Pinus , 0.45 spg",P. arizonica,"Pine, Arizona",135,0.43,Conifer
"Pinus , 0.45 spg",P. banksiana,"Pine, jack",105,0.4,Conifer
"Pinus , 0.45 spg",P. contorta,"Pine, lodgepole",108,0.38,Conifer
"Pinus , 0.45 spg",P. jeffreyi,"Pine, Jeffrey",116,0.37,Conifer
